x,computed,exact,rel_error,log10(error)
0.828,0.172609,0.171784,0.00480442,-2.31836
0.829,0.171613,0.170787,0.00483838,-2.3153
0.83,0.170617,0.169789,0.00487273,-2.31223
0.831,0.16962,0.168792,0.00490749,-2.30914
0.832,0.168624,0.167794,0.00494267,-2.30604
0.833,0.167627,0.166797,0.00497826,-2.30292
0.834,0.16663,0.165799,0.00501429,-2.29979
0.835,0.165634,0.164802,0.00505075,-2.29664
0.836,0.164637,0.163804,0.00508765,-2.29348
0.837,0.163641,0.162806,0.00512501,-2.2903
0.838,0.162644,0.161809,0.00516283,-2.28711
0.839,0.161647,0.160811,0.00520113,-2.2839
0.84,0.160651,0.159813,0.0052399,-2.28068
0.841,0.159654,0.158816,0.00527915,-2.27744
0.842,0.158657,0.157818,0.00531891,-2.27418
0.843,0.15766,0.15682,0.00535917,-2.2709
0.844,0.156664,0.155822,0.00539995,-2.26761
0.845,0.155667,0.154824,0.00544125,-2.2643
0.846,0.15467,0.153827,0.00548309,-2.26097
0.847,0.153673,0.152829,0.00552548,-2.25763
0.848,0.152676,0.151831,0.00556843,-2.25427
0.849,0.151679,0.150833,0.00561194,-2.25089
0.85,0.150683,0.149835,0.00565604,-2.24749
0.851,0.149686,0.148837,0.00570072,-2.24407
0.852,0.148689,0.147839,0.00574602,-2.24063
0.853,0.147692,0.146841,0.00579192,-2.23718
0.854,0.146695,0.145843,0.00583846,-2.2337
0.855,0.145698,0.144845,0.00588564,-2.23021
0.856,0.144701,0.143847,0.00593347,-2.22669
0.857,0.143704,0.142849,0.00598198,-2.22316
0.858,0.142707,0.141851,0.00603116,-2.2196
0.859,0.14171,0.140853,0.00608105,-2.21602
0.86,0.140712,0.139855,0.00613165,-2.21242
0.861,0.139715,0.138857,0.00618297,-2.2088
0.862,0.138718,0.137859,0.00623504,-2.20516
0.863,0.137721,0.136861,0.00628787,-2.2015
0.864,0.136724,0.135862,0.00634148,-2.19781
0.865,0.135727,0.134864,0.00639588,-2.1941
0.866,0.13473,0.133866,0.0064511,-2.19037
0.867,0.133732,0.132868,0.00650714,-2.18661
0.868,0.132735,0.131869,0.00656403,-2.18283
0.869,0.131738,0.130871,0.0066218,-2.17902
0.87,0.130741,0.129873,0.00668045,-2.17519
0.871,0.129743,0.128875,0.00674001,-2.17134
0.872,0.128746,0.127876,0.0068005,-2.16746
0.873,0.127749,0.126878,0.00686195,-2.16355
0.874,0.126751,0.12588,0.00692437,-2.15962
0.875,0.125754,0.124881,0.00698778,-2.15566
0.876,0.124757,0.123883,0.00705223,-2.15167
0.877,0.123759,0.122884,0.00711772,-2.14766
0.878,0.122762,0.121886,0.00718428,-2.14362
0.879,0.121764,0.120888,0.00725194,-2.13955
0.88,0.120767,0.119889,0.00732074,-2.13545
0.881,0.119769,0.118891,0.00739069,-2.13132
0.882,0.118772,0.117892,0.00746182,-2.12716
0.883,0.117775,0.116894,0.00753417,-2.12296
0.884,0.116777,0.115895,0.00760777,-2.11874
0.885,0.11578,0.114897,0.00768265,-2.11449
0.886,0.114782,0.113898,0.00775884,-2.1102
0.887,0.113784,0.1129,0.00783638,-2.10588
0.888,0.112787,0.111901,0.00791531,-2.10153
0.889,0.111789,0.110903,0.00799565,-2.09715
0.89,0.110792,0.109904,0.00807746,-2.09273
0.891,0.109794,0.108905,0.00816077,-2.08827
0.892,0.108797,0.107907,0.00824563,-2.08378
0.893,0.107799,0.106908,0.00833207,-2.07925
0.894,0.106801,0.10591,0.00842014,-2.07468
0.895,0.105804,0.104911,0.00850989,-2.07008
0.896,0.104806,0.103912,0.00860136,-2.06543
0.897,0.103808,0.102914,0.00869461,-2.06075
0.898,0.102811,0.101915,0.00878969,-2.05603
0.899,0.101813,0.100916,0.00888665,-2.05126
0.9,0.100815,0.0999175,0.00898556,-2.04646
0.901,0.0998175,0.0989187,0.00908646,-2.04161
0.902,0.0988198,0.09792,0.00918942,-2.03671
0.903,0.0978221,0.0969212,0.0092945,-2.03177
0.904,0.0968243,0.0959225,0.00940177,-2.02679
0.905,0.0958265,0.0949237,0.0095113,-2.02176
0.906,0.0948288,0.0939249,0.00962316,-2.01668
0.907,0.093831,0.0929261,0.00973743,-2.01156
0.908,0.0928332,0.0919273,0.00985418,-2.00638
0.909,0.0918354,0.0909285,0.0099735,-2.00115
0.91,0.0908375,0.0899296,0.0100955,-1.99587
0.911,0.0898397,0.0889308,0.0102202,-1.99054
0.912,0.0888418,0.087932,0.0103477,-1.98516
0.913,0.087844,0.0869331,0.0104782,-1.97971
0.914,0.0868461,0.0859342,0.0106117,-1.97421
0.915,0.0858482,0.0849353,0.0107484,-1.96866
0.916,0.0848503,0.0839364,0.0108883,-1.96304
0.917,0.0838524,0.0829375,0.0110316,-1.95736
0.918,0.0828545,0.0819386,0.0111783,-1.95162
0.919,0.0818566,0.0809397,0.0113287,-1.94582
0.92,0.0808587,0.0799407,0.0114829,-1.93995
0.921,0.0798607,0.0789418,0.0116409,-1.93401
0.922,0.0788628,0.0779428,0.0118031,-1.92801
0.923,0.0778648,0.0769439,0.0119694,-1.92193
0.924,0.0768668,0.0759449,0.0121401,-1.91578
0.925,0.0758689,0.0749459,0.0123153,-1.90955
0.926,0.0748709,0.0739469,0.0124953,-1.90325
0.927,0.0738729,0.0729479,0.0126803,-1.89687
0.928,0.0728749,0.0719489,0.0128703,-1.89041
0.929,0.0718768,0.0709498,0.0130657,-1.88387
0.93,0.0708788,0.0699508,0.0132667,-1.87724
0.931,0.0698808,0.0689518,0.0134736,-1.87052
0.932,0.0688827,0.0679527,0.0136865,-1.86371
0.933,0.0678847,0.0669536,0.0139057,-1.85681
0.934,0.0668866,0.0659546,0.0141316,-1.84981
0.935,0.0658885,0.0649555,0.0143645,-1.84271
0.936,0.0648905,0.0639564,0.0146046,-1.83551
0.937,0.0638924,0.0629573,0.0148524,-1.8282
0.938,0.0628943,0.0619582,0.0151081,-1.82079
0.939,0.0618962,0.0609591,0.0153723,-1.81326
0.94,0.060898,0.05996,0.0156452,-1.80562
0.941,0.0598999,0.0589608,0.0159274,-1.79785
0.942,0.0589018,0.0579617,0.0162193,-1.78997
0.943,0.0579036,0.0569625,0.0165215,-1.78195
0.944,0.0569055,0.0559634,0.0168345,-1.7738
0.945,0.0559073,0.0549642,0.0171588,-1.76551
0.946,0.0549092,0.053965,0.0174952,-1.75708
0.947,0.053911,0.0529659,0.0178442,-1.7485
0.948,0.0529128,0.0519667,0.0182067,-1.73977
0.949,0.0519146,0.0509675,0.0185834,-1.73088
0.95,0.0509164,0.0499683,0.0189751,-1.72182
0.951,0.0499182,0.0489691,0.0193829,-1.71258
0.952,0.04892,0.0479699,0.0198076,-1.70317
0.953,0.0479218,0.0469706,0.0202504,-1.69357
0.954,0.0469236,0.0459714,0.0207125,-1.68377
0.955,0.0459253,0.0449722,0.0211951,-1.67376
0.956,0.0449271,0.0439729,0.0216996,-1.66355
0.957,0.0439289,0.0429737,0.0222276,-1.65311
0.958,0.0429306,0.0419744,0.0227808,-1.64243
0.959,0.0419323,0.0409751,0.0233609,-1.63151
0.96,0.0409341,0.0399759,0.02397,-1.62033
0.961,0.0399358,0.0389766,0.0246104,-1.60888
0.962,0.0389375,0.0379773,0.0252845,-1.59715
0.963,0.0379392,0.036978,0.025995,-1.58511
0.964,0.0369409,0.0359787,0.026745,-1.57276
0.965,0.0359426,0.0349794,0.0275379,-1.56007
0.966,0.0349443,0.0339801,0.0283773,-1.54703
0.967,0.033946,0.0329808,0.0292677,-1.53361
0.968,0.0329477,0.0319814,0.0302137,-1.5198
0.969,0.0319494,0.0309821,0.0312208,-1.50556
0.97,0.030951,0.0299828,0.0322949,-1.49087
0.971,0.0299527,0.0289834,0.0334432,-1.47569
0.972,0.0289544,0.0279841,0.0346735,-1.46
0.973,0.027956,0.0269847,0.0359949,-1.44376
0.974,0.0269577,0.0259853,0.037418,-1.42692
0.975,0.0259593,0.024986,0.0389549,-1.40944
0.976,0.0249609,0.0239866,0.0406199,-1.39126
0.977,0.0239626,0.0229872,0.0424296,-1.37233
0.978,0.0229642,0.0219878,0.0444039,-1.35258
0.979,0.0219658,0.0209884,0.0465662,-1.33193
0.98,0.0209674,0.019989,0.0489448,-1.31029
0.981,0.019969,0.0189896,0.0515737,-1.28757
0.982,0.0189706,0.0179902,0.0544948,-1.26365
0.983,0.0179722,0.0169908,0.0577594,-1.23838
0.984,0.0169738,0.0159914,0.0614322,-1.2116
0.985,0.0159754,0.014992,0.0655947,-1.18313
0.986,0.0149769,0.0139925,0.0703518,-1.15272
0.987,0.0139785,0.0129931,0.0758408,-1.1201
0.988,0.0129801,0.0119937,0.0822446,-1.08489
0.989,0.0119816,0.0109942,0.0898127,-1.04666
0.99,0.0109832,0.00999477,0.0988945,-1.00483
0.991,0.00998475,0.00899532,0.109994,-0.958629
0.992,0.0089863,0.00799586,0.123869,-0.907036
0.993,0.00798784,0.00699639,0.141709,-0.848604
0.994,0.00698938,0.00599692,0.165494,-0.781217
0.995,0.00599091,0.00499745,0.198794,-0.701597
0.996,0.00499243,0.00399797,0.248744,-0.604248
0.997,0.00399396,0.00299848,0.331993,-0.478871
0.998,0.00299547,0.00199899,0.498492,-0.302341
0.999,0.00199699,0.000999498,0.99799,-0.000873862
1,0.000998496,5.88857e-18,1.69565e+14,14.2293
