x,computed,exact,rel_error,log10(error)
0.0248,0.194841,0.194841,8.33296e-08,-7.0792
0.0249,0.195521,0.195521,8.33296e-08,-7.0792
0.025,0.1962,0.1962,8.33296e-08,-7.0792
0.0251,0.196879,0.196879,8.33296e-08,-7.0792
0.0252,0.197556,0.197556,8.33296e-08,-7.0792
0.0253,0.198233,0.198233,8.33296e-08,-7.0792
0.0254,0.198909,0.198909,8.33296e-08,-7.0792
0.0255,0.199585,0.199585,8.33296e-08,-7.0792
0.0256,0.200259,0.200259,8.33296e-08,-7.0792
0.0257,0.200933,0.200933,8.33296e-08,-7.0792
0.0258,0.201606,0.201606,8.33296e-08,-7.0792
0.0259,0.202278,0.202278,8.33296e-08,-7.0792
0.026,0.20295,0.20295,8.33296e-08,-7.0792
0.0261,0.20362,0.20362,8.33296e-08,-7.0792
0.0262,0.20429,0.20429,8.33296e-08,-7.0792
0.0263,0.204959,0.204959,8.33296e-08,-7.0792
0.0264,0.205628,0.205628,8.33296e-08,-7.0792
0.0265,0.206295,0.206295,8.33296e-08,-7.0792
0.0266,0.206962,0.206962,8.33296e-08,-7.0792
0.0267,0.207628,0.207628,8.33296e-08,-7.0792
0.0268,0.208293,0.208293,8.33296e-08,-7.0792
0.0269,0.208958,0.208958,8.33296e-08,-7.0792
0.027,0.209622,0.209622,8.33296e-08,-7.0792
0.0271,0.210285,0.210285,8.33296e-08,-7.0792
0.0272,0.210947,0.210947,8.33296e-08,-7.0792
0.0273,0.211608,0.211608,8.33295e-08,-7.0792
0.0274,0.212269,0.212269,8.33295e-08,-7.0792
0.0275,0.212929,0.212929,8.33295e-08,-7.0792
0.0276,0.213588,0.213588,8.33295e-08,-7.0792
0.0277,0.214247,0.214247,8.33295e-08,-7.0792
0.0278,0.214904,0.214904,8.33295e-08,-7.0792
0.0279,0.215561,0.215561,8.33295e-08,-7.0792
0.028,0.216218,0.216218,8.33295e-08,-7.0792
0.0281,0.216873,0.216873,8.33295e-08,-7.0792
0.0282,0.217528,0.217528,8.33295e-08,-7.0792
0.0283,0.218181,0.218181,8.33295e-08,-7.0792
0.0284,0.218835,0.218835,8.33295e-08,-7.0792
0.0285,0.219487,0.219487,8.33295e-08,-7.0792
0.0286,0.220139,0.220139,8.33295e-08,-7.0792
0.0287,0.22079,0.22079,8.33295e-08,-7.0792
0.0288,0.22144,0.22144,8.33295e-08,-7.0792
0.0289,0.222089,0.222089,8.33295e-08,-7.0792
0.029,0.222738,0.222738,8.33295e-08,-7.0792
0.0291,0.223386,0.223386,8.33295e-08,-7.0792
0.0292,0.224033,0.224033,8.33295e-08,-7.0792
0.0293,0.224679,0.224679,8.33295e-08,-7.0792
0.0294,0.225325,0.225325,8.33295e-08,-7.0792
0.0295,0.22597,0.22597,8.33295e-08,-7.0792
0.0296,0.226614,0.226614,8.33295e-08,-7.0792
0.0297,0.227257,0.227257,8.33295e-08,-7.0792
0.0298,0.2279,0.2279,8.33295e-08,-7.0792
0.0299,0.228542,0.228542,8.33295e-08,-7.0792
0.03,0.229183,0.229183,8.33295e-08,-7.0792
0.0301,0.229824,0.229824,8.33295e-08,-7.0792
0.0302,0.230463,0.230463,8.33295e-08,-7.0792
0.0303,0.231102,0.231102,8.33295e-08,-7.0792
0.0304,0.23174,0.231741,8.33295e-08,-7.0792
0.0305,0.232378,0.232378,8.33295e-08,-7.0792
0.0306,0.233015,0.233015,8.33295e-08,-7.0792
0.0307,0.233651,0.233651,8.33295e-08,-7.0792
0.0308,0.234286,0.234286,8.33295e-08,-7.0792
0.0309,0.234921,0.234921,8.33295e-08,-7.0792
0.031,0.235554,0.235554,8.33295e-08,-7.0792
0.0311,0.236188,0.236188,8.33295e-08,-7.0792
0.0312,0.23682,0.23682,8.33295e-08,-7.0792
0.0313,0.237451,0.237452,8.33295e-08,-7.0792
0.0314,0.238082,0.238082,8.33295e-08,-7.0792
0.0315,0.238713,0.238713,8.33295e-08,-7.0792
0.0316,0.239342,0.239342,8.33295e-08,-7.0792
0.0317,0.239971,0.239971,8.33295e-08,-7.0792
0.0318,0.240599,0.240599,8.33295e-08,-7.0792
0.0319,0.241226,0.241226,8.33295e-08,-7.0792
0.032,0.241852,0.241852,8.33295e-08,-7.0792
0.0321,0.242478,0.242478,8.33295e-08,-7.0792
0.0322,0.243103,0.243103,8.33295e-08,-7.0792
0.0323,0.243728,0.243728,8.33295e-08,-7.0792
0.0324,0.244351,0.244351,8.33295e-08,-7.0792
